Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
137835,'TMEM71',59.29,159.42,108.93,67.2,71.31,59.93,91.82,61.57,118.58,106.31,58.0,83.14,81.53,77.91,36.8,75.89,9.18,26.77,85.81,28.6,88.69,35.9,64.03,27.06,27.25,86.13
137868,'SGCZ',0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
137872,'ADHFE1',3.99,4.94,6.79,8.08,4.73,6.08,8.26,10.79,4.73,7.78,4.79,2.68,4.62,4.59,2.86,3.15,3.53,1.36,7.25,2.54,4.92,2.0,3.63,1.81,3.17,4.75
137886,'UBXN2B',28.29,45.0,31.56,24.8,19.88,18.13,27.13,22.87,19.39,20.13,22.3,24.86,26.28,35.6,24.92,29.23,8.13,20.97,26.14,18.25,30.27,16.77,35.84,15.33,5.1,19.76
1379,'CR1L',0.0,0.44,0.0,0.12,0.12,0.06,0.13,0.0,0.06,0.12,0.38,0.22,0.42,0.32,0.43,0.0,0.0,0.0,0.47,0.0,0.13,0.0,0.48,0.08,0.41,0.0
137902,'PXDNL',0.09,0.12,0.09,0.0,0.04,0.12,0.0,0.09,0.04,0.12,0.03,0.0,0.07,0.05,0.0,0.1,0.14,0.0,0.04,0.05,0.0,0.0,0.33,0.15,0.13,0.16
137964,'GPAT4',41.29,29.23,38.01,34.97,36.78,40.56,43.09,40.31,39.37,39.49,42.41,50.57,27.75,40.01,40.07,37.51,33.51,38.7,42.38,38.11,38.42,27.14,27.44,27.48,22.69,22.5
137994,'LETM2',3.31,6.25,4.54,1.56,1.98,1.42,2.67,2.73,3.31,2.73,3.44,2.35,4.42,4.95,3.95,7.36,2.21,4.27,4.13,2.28,3.76,2.66,6.03,2.32,3.35,3.96
1380,'CR2',10.54,3.61,1.91,2.04,5.54,9.2,6.87,7.83,5.59,3.41,3.43,6.44,6.02,6.21,7.92,7.63,5.15,5.76,5.16,6.08,1.19,2.24,0.43,3.4,0.89,2.27
138050,'HGSNAT',32.83,19.43,28.74,25.39,25.8,18.73,30.32,28.2,16.18,20.03,16.67,21.03,16.83,10.01,9.44,7.7,5.55,5.86,21.81,7.74,21.06,13.08,11.34,10.67,5.05,6.99
